task_id,bf16_native_base_status,bf16_native_plus_status,bf16_native_base_pass,bf16_native_plus_pass,bf16_native_base_fail_count,bf16_native_plus_fail_count,bf16_native_solution_chars,uniform_int8_base_status,uniform_int8_plus_status,uniform_int8_base_pass,uniform_int8_plus_pass,uniform_int8_base_fail_count,uniform_int8_plus_fail_count,uniform_int8_solution_chars,uniform_int4_base_status,uniform_int4_plus_status,uniform_int4_base_pass,uniform_int4_plus_pass,uniform_int4_base_fail_count,uniform_int4_plus_fail_count,uniform_int4_solution_chars,mixed_exact_int4_budget_base_status,mixed_exact_int4_budget_plus_status,mixed_exact_int4_budget_base_pass,mixed_exact_int4_budget_plus_pass,mixed_exact_int4_budget_base_fail_count,mixed_exact_int4_budget_plus_fail_count,mixed_exact_int4_budget_solution_chars,num_models_base_pass,num_models_plus_pass,mixed_recovers_int4_failure_plus,mixed_loses_int4_success_plus,mixed_matches_int8_plus,int8_only_plus_success
HumanEval/27,pass,pass,1,1,0,0,252,pass,pass,1,1,0,0,252,pass,pass,1,1,0,0,470,pass,pass,1,1,0,0,425,4,4,0,0,1,0
HumanEval/28,pass,pass,1,1,0,0,238,pass,pass,1,1,0,0,238,pass,pass,1,1,0,0,238,pass,pass,1,1,0,0,238,4,4,0,0,1,0
HumanEval/29,pass,pass,1,1,0,0,365,pass,pass,1,1,0,0,365,pass,fail,1,0,0,1,477,pass,pass,1,1,0,0,365,4,3,1,0,1,0
HumanEval/30,pass,pass,1,1,0,0,262,pass,pass,1,1,0,0,262,pass,pass,1,1,0,0,262,pass,pass,1,1,0,0,262,4,4,0,0,1,0
HumanEval/31,pass,pass,1,1,0,0,562,pass,pass,1,1,0,0,584,pass,pass,1,1,0,0,588,pass,pass,1,1,0,0,562,4,4,0,0,1,0
HumanEval/32,fail,fail,0,0,0,1,2186,fail,fail,0,0,0,1,2480,fail,fail,0,0,0,0,11,fail,fail,0,0,0,1,1840,0,0,0,0,1,0
HumanEval/33,pass,pass,1,1,0,0,815,pass,pass,1,1,0,0,815,pass,pass,1,1,0,0,903,fail,fail,0,0,1,1,848,3,3,0,1,0,1
HumanEval/34,pass,pass,1,1,0,0,172,pass,pass,1,1,0,0,172,pass,pass,1,1,0,0,236,pass,pass,1,1,0,0,172,4,4,0,0,1,0
HumanEval/35,pass,pass,1,1,0,0,273,pass,pass,1,1,0,0,273,pass,pass,1,1,0,0,273,pass,pass,1,1,0,0,273,4,4,0,0,1,0
HumanEval/36,pass,pass,1,1,0,0,385,pass,pass,1,1,0,0,385,pass,pass,1,1,0,0,513,pass,pass,1,1,0,0,382,4,4,0,0,1,0
HumanEval/37,pass,pass,1,1,0,0,782,pass,pass,1,1,0,0,782,pass,pass,1,1,0,0,774,pass,pass,1,1,0,0,809,4,4,0,0,1,0
HumanEval/38,pass,pass,1,1,0,0,522,pass,pass,1,1,0,0,522,pass,pass,1,1,0,0,925,pass,pass,1,1,0,0,725,4,4,0,0,1,0
HumanEval/39,pass,fail,1,0,0,1,815,pass,fail,1,0,0,1,815,pass,fail,1,0,0,1,1176,pass,fail,1,0,0,1,1024,4,0,0,0,1,0
HumanEval/40,pass,fail,1,0,0,1,826,pass,fail,1,0,0,1,826,pass,pass,1,1,0,0,865,pass,fail,1,0,0,1,837,4,1,0,1,1,0
HumanEval/41,pass,pass,1,1,0,0,796,pass,pass,1,1,0,0,972,pass,pass,1,1,0,0,908,pass,pass,1,1,0,0,918,4,4,0,0,1,0
HumanEval/42,pass,pass,1,1,0,0,239,pass,pass,1,1,0,0,239,pass,pass,1,1,0,0,239,pass,pass,1,1,0,0,239,4,4,0,0,1,0
HumanEval/43,pass,pass,1,1,0,0,576,pass,pass,1,1,0,0,576,pass,pass,1,1,0,0,576,pass,pass,1,1,0,0,576,4,4,0,0,1,0
HumanEval/44,pass,pass,1,1,0,0,508,pass,pass,1,1,0,0,508,pass,pass,1,1,0,0,541,pass,pass,1,1,0,0,534,4,4,0,0,1,0
HumanEval/45,pass,pass,1,1,0,0,158,pass,pass,1,1,0,0,158,pass,pass,1,1,0,0,160,pass,pass,1,1,0,0,160,4,4,0,0,1,0
HumanEval/46,pass,pass,1,1,0,0,883,pass,pass,1,1,0,0,883,pass,pass,1,1,0,0,899,pass,pass,1,1,0,0,950,4,4,0,0,1,0
HumanEval/47,pass,pass,1,1,0,0,416,pass,pass,1,1,0,0,416,pass,pass,1,1,0,0,426,pass,pass,1,1,0,0,433,4,4,0,0,1,0
HumanEval/48,pass,pass,1,1,0,0,280,pass,pass,1,1,0,0,280,pass,pass,1,1,0,0,412,pass,pass,1,1,0,0,416,4,4,0,0,1,0
HumanEval/49,pass,pass,1,1,0,0,353,pass,pass,1,1,0,0,353,pass,pass,1,1,0,0,284,pass,pass,1,1,0,0,321,4,4,0,0,1,0
HumanEval/50,pass,pass,1,1,0,0,216,pass,pass,1,1,0,0,216,pass,pass,1,1,0,0,209,pass,pass,1,1,0,0,209,4,4,0,0,1,0
HumanEval/51,pass,pass,1,1,0,0,468,pass,pass,1,1,0,0,468,pass,pass,1,1,0,0,468,pass,pass,1,1,0,0,468,4,4,0,0,1,0
HumanEval/52,pass,pass,1,1,0,0,263,pass,pass,1,1,0,0,263,pass,pass,1,1,0,0,255,pass,pass,1,1,0,0,255,4,4,0,0,1,0
HumanEval/53,pass,pass,1,1,0,0,136,pass,pass,1,1,0,0,136,pass,pass,1,1,0,0,136,pass,pass,1,1,0,0,136,4,4,0,0,1,0
HumanEval/54,fail,fail,0,0,1,1,585,fail,fail,0,0,1,1,651,pass,pass,1,1,0,0,603,pass,pass,1,1,0,0,589,2,2,0,0,0,0
HumanEval/55,pass,fail,1,0,0,1,372,pass,fail,1,0,0,1,372,pass,pass,1,1,0,0,357,pass,pass,1,1,0,0,282,4,2,0,0,0,0
HumanEval/56,pass,pass,1,1,0,0,559,pass,pass,1,1,0,0,559,pass,pass,1,1,0,0,658,pass,pass,1,1,0,0,672,4,4,0,0,1,0
HumanEval/57,pass,pass,1,1,0,0,666,pass,pass,1,1,0,0,565,pass,pass,1,1,0,0,586,pass,pass,1,1,0,0,592,4,4,0,0,1,0
HumanEval/58,pass,pass,1,1,0,0,267,pass,pass,1,1,0,0,267,pass,pass,1,1,0,0,328,pass,pass,1,1,0,0,341,4,4,0,0,1,0
HumanEval/59,pass,pass,1,1,0,0,632,pass,pass,1,1,0,0,632,pass,pass,1,1,0,0,666,pass,pass,1,1,0,0,535,4,4,0,0,1,0
HumanEval/60,pass,pass,1,1,0,0,297,pass,pass,1,1,0,0,297,pass,pass,1,1,0,0,337,pass,pass,1,1,0,0,297,4,4,0,0,1,0
HumanEval/61,pass,pass,1,1,0,0,559,pass,pass,1,1,0,0,559,pass,pass,1,1,0,0,725,pass,pass,1,1,0,0,649,4,4,0,0,1,0
HumanEval/62,pass,pass,1,1,0,0,556,pass,pass,1,1,0,0,541,pass,pass,1,1,0,0,540,fail,fail,0,0,1,1,563,3,3,0,1,0,1
HumanEval/63,pass,pass,1,1,0,0,798,pass,pass,1,1,0,0,798,pass,pass,1,1,0,0,825,pass,pass,1,1,0,0,849,4,4,0,0,1,0
HumanEval/64,pass,pass,1,1,0,0,693,pass,pass,1,1,0,0,693,pass,pass,1,1,0,0,606,pass,pass,1,1,0,0,685,4,4,0,0,1,0
HumanEval/65,pass,pass,1,1,0,0,741,pass,pass,1,1,0,0,741,fail,fail,0,0,1,1,958,fail,fail,0,0,1,1,488,2,2,0,0,0,1
HumanEval/66,pass,pass,1,1,0,0,467,pass,pass,1,1,0,0,463,pass,pass,1,1,0,0,467,pass,pass,1,1,0,0,467,4,4,0,0,1,0
HumanEval/67,fail,fail,0,0,1,1,1205,fail,fail,0,0,1,1,1172,fail,fail,0,0,1,1,1117,pass,pass,1,1,0,0,1293,1,1,1,0,0,0
HumanEval/68,pass,pass,1,1,0,0,1104,pass,pass,1,1,0,0,1104,pass,pass,1,1,0,0,1864,pass,pass,1,1,0,0,1734,4,4,0,0,1,0
HumanEval/69,pass,pass,1,1,0,0,645,pass,pass,1,1,0,0,645,pass,pass,1,1,0,0,883,pass,pass,1,1,0,0,610,4,4,0,0,1,0
HumanEval/70,pass,pass,1,1,0,0,861,pass,pass,1,1,0,0,889,pass,pass,1,1,0,0,943,pass,pass,1,1,0,0,786,4,4,0,0,1,0
HumanEval/71,pass,pass,1,1,0,0,737,pass,pass,1,1,0,0,593,pass,pass,1,1,0,0,946,pass,pass,1,1,0,0,835,4,4,0,0,1,0
HumanEval/72,pass,pass,1,1,0,0,417,pass,pass,1,1,0,0,429,pass,pass,1,1,0,0,955,pass,pass,1,1,0,0,492,4,4,0,0,1,0
HumanEval/73,pass,pass,1,1,0,0,673,pass,pass,1,1,0,0,673,pass,pass,1,1,0,0,706,pass,pass,1,1,0,0,673,4,4,0,0,1,0
HumanEval/74,fail,fail,0,0,1,1,815,fail,fail,0,0,1,1,815,fail,fail,0,0,1,1,903,pass,pass,1,1,0,0,387,1,1,1,0,0,0
HumanEval/75,pass,pass,1,1,0,0,1226,pass,pass,1,1,0,0,1228,pass,pass,1,1,0,0,927,pass,pass,1,1,0,0,989,4,4,0,0,1,0
HumanEval/76,pass,fail,1,0,0,1,1516,pass,fail,1,0,0,1,2441,pass,fail,1,0,0,1,1329,pass,fail,1,0,0,1,815,4,0,0,0,1,0
HumanEval/77,fail,fail,0,0,1,1,556,fail,fail,0,0,1,1,559,fail,fail,0,0,1,1,554,fail,fail,0,0,1,1,379,0,0,0,0,1,0
HumanEval/78,pass,pass,1,1,0,0,375,pass,pass,1,1,0,0,521,pass,pass,1,1,0,0,982,pass,pass,1,1,0,0,492,4,4,0,0,1,0
HumanEval/79,pass,pass,1,1,0,0,800,pass,pass,1,1,0,0,825,pass,pass,1,1,0,0,781,pass,pass,1,1,0,0,979,4,4,0,0,1,0
HumanEval/80,pass,pass,1,1,0,0,572,pass,pass,1,1,0,0,572,pass,pass,1,1,0,0,578,pass,pass,1,1,0,0,559,4,4,0,0,1,0
HumanEval/81,pass,pass,1,1,0,0,1730,pass,pass,1,1,0,0,1730,pass,pass,1,1,0,0,2095,pass,pass,1,1,0,0,1734,4,4,0,0,1,0
HumanEval/82,pass,pass,1,1,0,0,523,pass,pass,1,1,0,0,523,pass,pass,1,1,0,0,472,pass,pass,1,1,0,0,472,4,4,0,0,1,0
HumanEval/83,pass,pass,1,1,0,0,986,pass,pass,1,1,0,0,963,pass,pass,1,1,0,0,1602,pass,fail,1,0,0,1,910,4,3,0,1,0,1
HumanEval/84,pass,pass,1,1,0,0,648,pass,pass,1,1,0,0,648,pass,pass,1,1,0,0,922,pass,pass,1,1,0,0,1001,4,4,0,0,1,0
HumanEval/85,pass,pass,1,1,0,0,331,pass,pass,1,1,0,0,331,pass,pass,1,1,0,0,315,pass,pass,1,1,0,0,315,4,4,0,0,1,0
HumanEval/86,pass,pass,1,1,0,0,754,pass,pass,1,1,0,0,768,pass,pass,1,1,0,0,721,pass,pass,1,1,0,0,773,4,4,0,0,1,0
HumanEval/87,pass,pass,1,1,0,0,1101,pass,pass,1,1,0,0,1038,pass,pass,1,1,0,0,1049,pass,pass,1,1,0,0,1070,4,4,0,0,1,0
HumanEval/88,pass,pass,1,1,0,0,1020,pass,pass,1,1,0,0,986,pass,pass,1,1,0,0,1067,pass,pass,1,1,0,0,850,4,4,0,0,1,0
HumanEval/89,pass,pass,1,1,0,0,906,pass,pass,1,1,0,0,906,pass,pass,1,1,0,0,1113,pass,pass,1,1,0,0,897,4,4,0,0,1,0
HumanEval/90,fail,fail,0,0,1,1,864,fail,fail,0,0,1,1,864,fail,fail,0,0,1,1,567,fail,fail,0,0,1,1,585,0,0,0,0,1,0
HumanEval/91,pass,fail,1,0,0,1,919,pass,fail,1,0,0,1,924,fail,fail,0,0,1,1,1023,fail,fail,0,0,1,1,946,2,0,0,0,1,0
HumanEval/92,pass,pass,1,1,0,0,665,pass,pass,1,1,0,0,665,pass,pass,1,1,0,0,670,pass,pass,1,1,0,0,667,4,4,0,0,1,0
HumanEval/93,pass,pass,1,1,0,0,1239,pass,pass,1,1,0,0,1177,fail,fail,0,0,1,1,1236,pass,pass,1,1,0,0,1113,3,3,1,0,1,0
HumanEval/94,pass,pass,1,1,0,0,1182,pass,pass,1,1,0,0,1190,pass,pass,1,1,0,0,1119,pass,pass,1,1,0,0,1349,4,4,0,0,1,0
HumanEval/95,fail,fail,0,0,1,1,625,pass,pass,1,1,0,0,619,fail,fail,0,0,1,1,945,fail,fail,0,0,1,1,499,1,1,0,0,0,1
HumanEval/96,fail,fail,0,0,1,1,902,pass,pass,1,1,0,0,1034,pass,pass,1,1,0,0,912,pass,pass,1,1,0,0,768,3,3,0,0,1,0
HumanEval/97,pass,pass,1,1,0,0,479,pass,pass,1,1,0,0,479,pass,pass,1,1,0,0,442,pass,pass,1,1,0,0,464,4,4,0,0,1,0
HumanEval/98,pass,pass,1,1,0,0,585,pass,pass,1,1,0,0,648,pass,pass,1,1,0,0,632,pass,pass,1,1,0,0,577,4,4,0,0,1,0
HumanEval/99,pass,pass,1,1,0,0,648,pass,pass,1,1,0,0,1324,pass,pass,1,1,0,0,721,pass,pass,1,1,0,0,900,4,4,0,0,1,0
HumanEval/100,pass,fail,1,0,0,1,849,pass,fail,1,0,0,1,849,pass,fail,1,0,0,1,875,pass,fail,1,0,0,1,890,4,0,0,0,1,0
HumanEval/101,pass,pass,1,1,0,0,490,pass,pass,1,1,0,0,490,pass,pass,1,1,0,0,500,pass,pass,1,1,0,0,500,4,4,0,0,1,0
HumanEval/102,pass,pass,1,1,0,0,497,pass,pass,1,1,0,0,497,pass,pass,1,1,0,0,610,pass,pass,1,1,0,0,610,4,4,0,0,1,0
HumanEval/103,fail,fail,0,0,1,1,756,fail,fail,0,0,1,1,802,pass,pass,1,1,0,0,983,pass,pass,1,1,0,0,843,2,2,0,0,0,0
HumanEval/104,pass,pass,1,1,0,0,577,pass,pass,1,1,0,0,577,pass,pass,1,1,0,0,626,pass,pass,1,1,0,0,536,4,4,0,0,1,0
HumanEval/105,pass,pass,1,1,0,0,1337,pass,pass,1,1,0,0,1337,pass,pass,1,1,0,0,1341,pass,pass,1,1,0,0,1364,4,4,0,0,1,0
HumanEval/106,pass,pass,1,1,0,0,866,pass,pass,1,1,0,0,866,fail,fail,0,0,1,1,1132,fail,fail,0,0,1,1,845,2,2,0,0,0,1
HumanEval/107,pass,pass,1,1,0,0,615,pass,pass,1,1,0,0,615,pass,pass,1,1,0,0,967,pass,pass,1,1,0,0,760,4,4,0,0,1,0
HumanEval/108,fail,fail,0,0,1,1,882,fail,fail,0,0,1,1,882,fail,fail,0,0,1,1,747,fail,fail,0,0,1,1,951,0,0,0,0,1,0
HumanEval/109,pass,pass,1,1,0,0,1681,pass,fail,1,0,0,1,1776,fail,fail,0,0,1,1,2911,pass,pass,1,1,0,0,2559,3,2,1,0,0,0
HumanEval/110,fail,fail,0,0,1,1,1102,fail,fail,0,0,1,1,1133,pass,pass,1,1,0,0,1105,pass,pass,1,1,0,0,1050,2,2,0,0,0,0
HumanEval/111,pass,pass,1,1,0,0,848,pass,pass,1,1,0,0,852,pass,pass,1,1,0,0,1109,pass,pass,1,1,0,0,941,4,4,0,0,1,0
HumanEval/112,pass,pass,1,1,0,0,735,pass,pass,1,1,0,0,734,pass,pass,1,1,0,0,1032,pass,pass,1,1,0,0,731,4,4,0,0,1,0
HumanEval/113,pass,pass,1,1,0,0,1061,pass,pass,1,1,0,0,1061,fail,fail,0,0,1,1,3031,pass,pass,1,1,0,0,1196,3,3,1,0,1,0
HumanEval/114,pass,pass,1,1,0,0,622,pass,pass,1,1,0,0,622,pass,pass,1,1,0,0,708,pass,pass,1,1,0,0,578,4,4,0,0,1,0
HumanEval/115,pass,pass,1,1,0,0,854,pass,pass,1,1,0,0,1318,pass,pass,1,1,0,0,1322,fail,fail,0,0,1,1,1207,3,3,0,1,0,1
HumanEval/116,pass,pass,1,1,0,0,1297,pass,pass,1,1,0,0,1271,fail,fail,0,0,1,1,2522,pass,pass,1,1,0,0,854,3,3,1,0,1,0
HumanEval/117,pass,pass,1,1,0,0,796,pass,pass,1,1,0,0,1026,pass,pass,1,1,0,0,1002,pass,pass,1,1,0,0,1399,4,4,0,0,1,0
HumanEval/118,pass,pass,1,1,0,0,1409,fail,fail,0,0,1,1,1634,fail,fail,0,0,1,1,1035,fail,fail,0,0,1,1,1140,1,1,0,0,1,0
HumanEval/119,pass,pass,1,1,0,0,1039,pass,pass,1,1,0,0,1131,pass,pass,1,1,0,0,1091,pass,pass,1,1,0,0,977,4,4,0,0,1,0
HumanEval/120,pass,pass,1,1,0,0,766,pass,pass,1,1,0,0,821,pass,pass,1,1,0,0,774,pass,pass,1,1,0,0,854,4,4,0,0,1,0
HumanEval/121,pass,pass,1,1,0,0,435,pass,pass,1,1,0,0,435,pass,pass,1,1,0,0,441,pass,pass,1,1,0,0,433,4,4,0,0,1,0
HumanEval/122,pass,pass,1,1,0,0,541,pass,pass,1,1,0,0,541,pass,pass,1,1,0,0,628,fail,fail,0,0,1,1,507,3,3,0,1,0,1
HumanEval/123,pass,pass,1,1,0,0,1121,pass,pass,1,1,0,0,1133,pass,pass,1,1,0,0,1145,pass,pass,1,1,0,0,1182,4,4,0,0,1,0
HumanEval/124,pass,fail,1,0,0,1,1661,pass,pass,1,1,0,0,1901,pass,fail,1,0,0,1,1894,pass,fail,1,0,0,1,2135,4,1,0,0,0,1
HumanEval/125,pass,pass,1,1,0,0,772,pass,pass,1,1,0,0,772,pass,pass,1,1,0,0,1027,pass,pass,1,1,0,0,811,4,4,0,0,1,0
HumanEval/126,fail,fail,0,0,1,1,835,fail,fail,0,0,1,1,835,fail,fail,0,0,1,1,893,fail,fail,0,0,1,1,895,0,0,0,0,1,0
HumanEval/127,fail,fail,0,0,1,1,1197,fail,fail,0,0,1,1,1228,fail,fail,0,0,1,1,1516,fail,fail,0,0,1,1,1498,0,0,0,0,1,0
HumanEval/128,pass,pass,1,1,0,0,870,pass,pass,1,1,0,0,870,pass,pass,1,1,0,0,853,pass,pass,1,1,0,0,835,4,4,0,0,1,0
HumanEval/129,fail,fail,0,0,1,1,2590,fail,fail,0,0,1,1,2556,fail,fail,0,0,1,1,2634,fail,fail,0,0,1,1,2693,0,0,0,0,1,0
HumanEval/130,fail,fail,0,0,1,1,1844,fail,fail,0,0,1,1,2069,fail,fail,0,0,1,1,1816,fail,fail,0,0,1,1,2072,0,0,0,0,1,0
HumanEval/131,pass,pass,1,1,0,0,479,pass,pass,1,1,0,0,479,pass,pass,1,1,0,0,488,pass,pass,1,1,0,0,479,4,4,0,0,1,0
HumanEval/132,fail,fail,0,0,1,1,1369,fail,fail,0,0,1,1,3133,fail,fail,0,0,1,1,2985,fail,fail,0,0,1,1,2970,0,0,0,0,1,0
HumanEval/133,pass,pass,1,1,0,0,522,pass,pass,1,1,0,0,646,pass,pass,1,1,0,0,635,pass,pass,1,1,0,0,643,4,4,0,0,1,0
HumanEval/134,pass,pass,1,1,0,0,879,pass,pass,1,1,0,0,786,fail,fail,0,0,1,1,981,fail,fail,0,0,1,1,777,2,2,0,0,0,1
HumanEval/135,pass,pass,1,1,0,0,683,pass,pass,1,1,0,0,683,fail,fail,0,0,1,1,649,pass,pass,1,1,0,0,688,3,3,1,0,1,0
HumanEval/136,pass,pass,1,1,0,0,657,pass,pass,1,1,0,0,657,pass,pass,1,1,0,0,659,pass,pass,1,1,0,0,659,4,4,0,0,1,0
HumanEval/137,pass,pass,1,1,0,0,911,pass,pass,1,1,0,0,911,pass,pass,1,1,0,0,905,pass,pass,1,1,0,0,754,4,4,0,0,1,0
HumanEval/138,pass,pass,1,1,0,0,379,pass,pass,1,1,0,0,379,pass,pass,1,1,0,0,525,pass,pass,1,1,0,0,524,4,4,0,0,1,0
HumanEval/139,pass,pass,1,1,0,0,609,pass,pass,1,1,0,0,706,pass,pass,1,1,0,0,577,pass,pass,1,1,0,0,694,4,4,0,0,1,0
HumanEval/140,fail,fail,0,0,1,1,1018,fail,fail,0,0,1,1,1018,fail,fail,0,0,1,1,1186,fail,fail,0,0,1,1,1023,0,0,0,0,1,0
HumanEval/141,pass,pass,1,1,0,0,1403,pass,pass,1,1,0,0,1490,pass,pass,1,1,0,0,1414,pass,pass,1,1,0,0,1420,4,4,0,0,1,0
HumanEval/142,pass,pass,1,1,0,0,955,pass,pass,1,1,0,0,952,pass,pass,1,1,0,0,817,fail,fail,0,0,1,1,918,3,3,0,1,0,1
HumanEval/143,pass,pass,1,1,0,0,592,pass,pass,1,1,0,0,594,pass,pass,1,1,0,0,1235,pass,pass,1,1,0,0,624,4,4,0,0,1,0
HumanEval/144,pass,pass,1,1,0,0,1054,pass,pass,1,1,0,0,1054,pass,pass,1,1,0,0,1380,pass,pass,1,1,0,0,1092,4,4,0,0,1,0
HumanEval/145,fail,fail,0,0,1,1,853,fail,fail,0,0,1,1,884,fail,fail,0,0,1,1,870,fail,fail,0,0,1,1,852,0,0,0,0,1,0
HumanEval/146,pass,pass,1,1,0,0,870,pass,pass,1,1,0,0,879,pass,pass,1,1,0,0,777,pass,pass,1,1,0,0,994,4,4,0,0,1,0
HumanEval/147,pass,pass,1,1,0,0,1274,pass,pass,1,1,0,0,1272,fail,fail,0,0,1,1,1900,pass,pass,1,1,0,0,842,3,3,1,0,1,0
HumanEval/148,pass,pass,1,1,0,0,660,pass,pass,1,1,0,0,660,pass,pass,1,1,0,0,804,pass,pass,1,1,0,0,654,4,4,0,0,1,0
HumanEval/149,pass,pass,1,1,0,0,990,pass,pass,1,1,0,0,990,fail,fail,0,0,1,1,1099,pass,pass,1,1,0,0,1055,3,3,1,0,1,0
HumanEval/150,pass,pass,1,1,0,0,602,pass,pass,1,1,0,0,607,pass,pass,1,1,0,0,371,pass,pass,1,1,0,0,565,4,4,0,0,1,0
HumanEval/151,pass,pass,1,1,0,0,726,pass,pass,1,1,0,0,726,pass,fail,1,0,0,1,749,pass,pass,1,1,0,0,764,4,3,1,0,1,0
HumanEval/152,pass,pass,1,1,0,0,845,pass,pass,1,1,0,0,845,pass,pass,1,1,0,0,1076,pass,pass,1,1,0,0,972,4,4,0,0,1,0
