model,task_id,raw_completion_tokens,sanitized_solution_tokens
INT8,HumanEval/41,344,228
INT8,HumanEval/42,148,126
INT8,HumanEval/43,217,195
INT8,HumanEval/44,185,163
INT8,HumanEval/45,138,54
INT8,HumanEval/46,430,348
INT8,HumanEval/47,255,163
INT8,HumanEval/48,107,85
INT8,HumanEval/49,178,156
INT8,HumanEval/50,308,66
INT8,HumanEval/51,182,160
INT8,HumanEval/52,223,97
INT8,HumanEval/53,82,60
INT8,HumanEval/54,216,194
INT8,HumanEval/55,224,153
INT8,HumanEval/56,177,155
INT8,HumanEval/57,357,179
INT8,HumanEval/58,158,136
INT8,HumanEval/59,262,194
INT8,HumanEval/60,157,135
INT8,HumanEval/61,176,154
INT8,HumanEval/62,331,204
INT8,HumanEval/63,385,291
INT8,HumanEval/64,435,211
INT8,HumanEval/65,344,211
INT8,HumanEval/66,292,153
INT8,HumanEval/67,496,344
INT8,HumanEval/68,566,319
INT8,HumanEval/69,381,157
INT8,HumanEval/70,407,270
INT8,HumanEval/71,289,178
INT8,HumanEval/72,333,122
INT8,HumanEval/73,361,220
INT8,HumanEval/74,407,258
INT8,HumanEval/75,660,352
INT8,HumanEval/76,768,765
INT8,HumanEval/77,349,164
INT8,HumanEval/78,308,154
INT8,HumanEval/79,341,224
INT8,HumanEval/80,354,192
INT8,HumanEval/81,629,524
INT8,HumanEval/82,357,148
INT8,HumanEval/83,471,335
INT8,HumanEval/84,388,203
INT8,HumanEval/85,254,114
INT8,HumanEval/86,294,190
INT8,HumanEval/87,511,346
INT8,HumanEval/88,530,323
INT8,HumanEval/89,406,261
INT8,HumanEval/90,339,245
INT8,HumanEval/91,332,245
INT8,HumanEval/92,430,214
INT8,HumanEval/93,378,312
INT8,HumanEval/94,768,492
INT8,HumanEval/95,397,157
INT8,HumanEval/96,541,346
INT8,HumanEval/97,314,159
INT8,HumanEval/98,401,221
INT8,HumanEval/99,564,375
INT8,HumanEval/100,377,237
INT8,HumanEval/101,287,138
INT8,HumanEval/102,341,155
INT8,HumanEval/103,364,265
INT8,HumanEval/104,326,184
INT8,HumanEval/105,768,459
INT8,HumanEval/106,414,265
INT8,HumanEval/107,281,188
INT8,HumanEval/108,338,270
INT8,HumanEval/109,614,453
INT8,HumanEval/110,537,353
INT8,HumanEval/111,425,250
INT8,HumanEval/112,366,178
INT8,HumanEval/113,371,310
INT8,HumanEval/114,299,195
INT8,HumanEval/115,621,404
INT8,HumanEval/116,501,362
INT8,HumanEval/117,488,286
INT8,HumanEval/118,650,467
INT8,HumanEval/119,428,312
INT8,HumanEval/120,505,286
INT8,HumanEval/121,242,154
INT8,HumanEval/122,445,189
INT8,HumanEval/123,437,329
INT8,HumanEval/124,768,614
INT8,HumanEval/125,288,220
INT8,HumanEval/126,550,308
INT8,HumanEval/127,609,351
INT8,HumanEval/128,328,260
INT8,HumanEval/129,768,763
INT8,HumanEval/130,768,767
INT8,HumanEval/131,248,151
INT8,HumanEval/132,768,768
INT8,HumanEval/133,362,209
INT8,HumanEval/134,401,199
INT8,HumanEval/135,326,197
INT8,HumanEval/136,371,204
INT8,HumanEval/137,406,264
INT8,HumanEval/138,270,112
INT8,HumanEval/139,281,207
INT8,HumanEval/140,404,266
INT8,HumanEval/141,768,415
INT8,HumanEval/142,351,274
INT8,HumanEval/143,226,173
INT8,HumanEval/144,364,292
INT8,HumanEval/145,396,269
INT8,HumanEval/146,347,270
INT8,HumanEval/147,587,505
INT8,HumanEval/148,322,191
INT8,HumanEval/149,381,255
INT8,HumanEval/150,370,220
INT8,HumanEval/151,351,214
INT8,HumanEval/152,393,252
INT8,HumanEval/153,501,384
INT8,HumanEval/154,358,196
INT8,HumanEval/155,263,151
INT8,HumanEval/156,548,343
INT8,HumanEval/157,354,209
INT8,HumanEval/158,290,212
INT8,HumanEval/159,523,343
INT8,HumanEval/160,768,763
INT8,HumanEval/161,313,215
INT8,HumanEval/162,212,127
INT8,HumanEval/163,325,194
INT4,HumanEval/0,390,172
INT4,HumanEval/1,394,233
INT4,HumanEval/2,249,128
INT4,HumanEval/3,173,152
INT4,HumanEval/4,299,181
INT4,HumanEval/5,168,147
INT4,HumanEval/6,347,278
INT4,HumanEval/7,280,149
INT4,HumanEval/8,272,155
INT4,HumanEval/9,322,170
INT4,HumanEval/10,370,242
INT4,HumanEval/11,414,211
INT4,HumanEval/12,268,156
INT4,HumanEval/13,351,172
INT4,HumanEval/14,191,89
INT4,HumanEval/15,210,106
INT4,HumanEval/16,238,121
INT4,HumanEval/17,407,295
INT4,HumanEval/18,180,159
INT4,HumanEval/19,346,263
INT4,HumanEval/20,466,337
INT4,HumanEval/21,417,224
INT4,HumanEval/22,237,113
INT4,HumanEval/23,70,49
INT4,HumanEval/24,235,129
INT4,HumanEval/25,442,296
INT4,HumanEval/26,272,125
INT4,HumanEval/27,233,112
INT4,HumanEval/28,85,64
INT4,HumanEval/29,149,128
INT4,HumanEval/30,154,133
INT4,HumanEval/31,235,214
INT4,HumanEval/32,768,2
INT4,HumanEval/33,448,271
INT4,HumanEval/34,233,95
INT4,HumanEval/35,227,110
INT4,HumanEval/36,283,178
INT4,HumanEval/37,434,243
INT4,HumanEval/38,612,254
INT4,HumanEval/39,487,377
INT4,HumanEval/40,409,272
INT4,HumanEval/41,344,211
INT4,HumanEval/42,284,126
INT4,HumanEval/43,216,195
INT4,HumanEval/44,296,170
INT4,HumanEval/45,155,54
INT4,HumanEval/46,768,333
INT4,HumanEval/47,290,166
INT4,HumanEval/48,134,113
INT4,HumanEval/49,166,144
INT4,HumanEval/50,296,63
INT4,HumanEval/51,182,160
INT4,HumanEval/52,215,94
INT4,HumanEval/53,81,60
INT4,HumanEval/54,210,189
INT4,HumanEval/55,236,144
INT4,HumanEval/56,768,169
INT4,HumanEval/57,344,181
INT4,HumanEval/58,277,148
INT4,HumanEval/59,326,217
INT4,HumanEval/60,163,142
INT4,HumanEval/61,322,191
INT4,HumanEval/62,299,185
INT4,HumanEval/63,431,300
INT4,HumanEval/64,554,187
INT4,HumanEval/65,511,273
INT4,HumanEval/66,259,154
INT4,HumanEval/67,423,316
INT4,HumanEval/68,712,498
INT4,HumanEval/69,456,263
INT4,HumanEval/70,393,262
INT4,HumanEval/71,428,301
INT4,HumanEval/72,446,296
INT4,HumanEval/73,430,233
INT4,HumanEval/74,434,279
INT4,HumanEval/75,401,277
INT4,HumanEval/76,747,422
INT4,HumanEval/77,309,162
INT4,HumanEval/78,475,365
INT4,HumanEval/79,333,216
INT4,HumanEval/80,346,188
INT4,HumanEval/81,768,670
INT4,HumanEval/82,340,134
INT4,HumanEval/83,768,533
INT4,HumanEval/84,768,283
INT4,HumanEval/85,313,111
INT4,HumanEval/86,330,184
INT4,HumanEval/87,556,349
INT4,HumanEval/88,472,339
INT4,HumanEval/89,398,300
INT4,HumanEval/90,270,176
INT4,HumanEval/91,414,262
INT4,HumanEval/92,367,212
INT4,HumanEval/93,386,316
INT4,HumanEval/94,768,489
INT4,HumanEval/95,413,258
INT4,HumanEval/96,486,329
INT4,HumanEval/97,242,150
INT4,HumanEval/98,340,200
INT4,HumanEval/99,351,206
INT4,HumanEval/100,376,238
INT4,HumanEval/101,361,143
INT4,HumanEval/102,385,187
INT4,HumanEval/103,459,318
INT4,HumanEval/104,371,197
INT4,HumanEval/105,768,459
INT4,HumanEval/106,496,324
INT4,HumanEval/107,413,321
INT4,HumanEval/108,313,245
INT4,HumanEval/109,768,768
INT4,HumanEval/110,613,332
INT4,HumanEval/111,544,305
INT4,HumanEval/112,437,279
INT4,HumanEval/113,768,768
INT4,HumanEval/114,335,205
INT4,HumanEval/115,603,404
INT4,HumanEval/116,768,768
INT4,HumanEval/117,475,282
INT4,HumanEval/118,768,302
INT4,HumanEval/119,464,316
INT4,HumanEval/120,466,274
INT4,HumanEval/121,335,160
INT4,HumanEval/122,579,214
INT4,HumanEval/123,498,328
INT4,HumanEval/124,768,618
INT4,HumanEval/125,462,304
INT4,HumanEval/126,603,330
INT4,HumanEval/127,575,424
INT4,HumanEval/128,406,252
INT4,HumanEval/129,768,768
INT4,HumanEval/130,768,606
INT4,HumanEval/131,263,152
INT4,HumanEval/132,768,768
INT4,HumanEval/133,369,213
INT4,HumanEval/134,414,259
INT4,HumanEval/135,322,189
INT4,HumanEval/136,372,206
INT4,HumanEval/137,424,256
INT4,HumanEval/138,768,165
INT4,HumanEval/139,280,177
INT4,HumanEval/140,461,298
INT4,HumanEval/141,768,393
INT4,HumanEval/142,310,233
INT4,HumanEval/143,377,324
INT4,HumanEval/144,438,366
INT4,HumanEval/145,435,265
INT4,HumanEval/146,392,243
INT4,HumanEval/147,768,768
INT4,HumanEval/148,364,232
INT4,HumanEval/149,417,270
INT4,HumanEval/150,256,138
INT4,HumanEval/151,388,220
INT4,HumanEval/152,446,306
INT4,HumanEval/153,707,384
INT4,HumanEval/154,335,219
INT4,HumanEval/155,361,185
INT4,HumanEval/156,642,341
INT4,HumanEval/157,548,324
INT4,HumanEval/158,297,210
INT4,HumanEval/159,532,373
INT4,HumanEval/160,768,500
INT4,HumanEval/161,370,233
INT4,HumanEval/162,136,114
INT4,HumanEval/163,410,261
Mixed,HumanEval/0,194,172
Mixed,HumanEval/1,466,275
Mixed,HumanEval/2,310,128
Mixed,HumanEval/3,173,151
Mixed,HumanEval/4,288,171
Mixed,HumanEval/5,268,147
Mixed,HumanEval/6,304,234
Mixed,HumanEval/7,128,106
Mixed,HumanEval/8,254,155
Mixed,HumanEval/9,330,158
Mixed,HumanEval/10,277,255
Mixed,HumanEval/11,445,193
Mixed,HumanEval/12,177,155
Mixed,HumanEval/13,244,124
Mixed,HumanEval/14,192,89
Mixed,HumanEval/15,190,86
Mixed,HumanEval/16,241,119
Mixed,HumanEval/17,479,382
Mixed,HumanEval/18,189,167
Mixed,HumanEval/19,320,235
Mixed,HumanEval/20,507,331
Mixed,HumanEval/21,348,244
Mixed,HumanEval/22,135,113
Mixed,HumanEval/23,69,47
Mixed,HumanEval/24,215,118
Mixed,HumanEval/25,406,270
Mixed,HumanEval/26,331,165
Mixed,HumanEval/27,206,102
Mixed,HumanEval/28,86,64
Mixed,HumanEval/29,123,101
Mixed,HumanEval/30,155,133
Mixed,HumanEval/31,229,207
Mixed,HumanEval/32,681,614
Mixed,HumanEval/33,379,273
Mixed,HumanEval/34,219,81
Mixed,HumanEval/35,132,110
Mixed,HumanEval/36,163,141
Mixed,HumanEval/37,421,259
Mixed,HumanEval/38,511,213
Mixed,HumanEval/39,385,363
Mixed,HumanEval/40,288,266
Mixed,HumanEval/41,306,222
Mixed,HumanEval/42,148,126
Mixed,HumanEval/43,217,195
Mixed,HumanEval/44,190,168
Mixed,HumanEval/45,144,54
Mixed,HumanEval/46,403,343
Mixed,HumanEval/47,263,170
Mixed,HumanEval/48,136,114
Mixed,HumanEval/49,165,143
Mixed,HumanEval/50,296,63
Mixed,HumanEval/51,182,160
Mixed,HumanEval/52,228,94
Mixed,HumanEval/53,82,60
Mixed,HumanEval/54,209,187
Mixed,HumanEval/55,145,123
Mixed,HumanEval/56,199,177
Mixed,HumanEval/57,358,188
Mixed,HumanEval/58,173,151
Mixed,HumanEval/59,245,177
Mixed,HumanEval/60,157,135
Mixed,HumanEval/61,192,170
Mixed,HumanEval/62,324,199
Mixed,HumanEval/63,377,305
Mixed,HumanEval/64,560,210
Mixed,HumanEval/65,419,154
Mixed,HumanEval/66,292,154
Mixed,HumanEval/67,459,352
Mixed,HumanEval/68,711,472
Mixed,HumanEval/69,347,146
Mixed,HumanEval/70,355,224
Mixed,HumanEval/71,373,264
Mixed,HumanEval/72,225,128
Mixed,HumanEval/73,326,220
Mixed,HumanEval/74,252,106
Mixed,HumanEval/75,501,276
Mixed,HumanEval/76,377,271
Mixed,HumanEval/77,300,119
Mixed,HumanEval/78,282,150
Mixed,HumanEval/79,377,261
Mixed,HumanEval/80,331,175
Mixed,HumanEval/81,768,525
Mixed,HumanEval/82,325,134
Mixed,HumanEval/83,410,300
Mixed,HumanEval/84,608,293
Mixed,HumanEval/85,240,111
Mixed,HumanEval/86,256,191
Mixed,HumanEval/87,560,353
Mixed,HumanEval/88,420,287
Mixed,HumanEval/89,405,244
Mixed,HumanEval/90,281,187
Mixed,HumanEval/91,350,251
Mixed,HumanEval/92,352,215
Mixed,HumanEval/93,342,286
Mixed,HumanEval/94,768,545
Mixed,HumanEval/95,312,127
Mixed,HumanEval/96,444,287
Mixed,HumanEval/97,249,158
Mixed,HumanEval/98,343,209
Mixed,HumanEval/99,380,252
Mixed,HumanEval/100,353,246
Mixed,HumanEval/101,299,143
Mixed,HumanEval/102,358,187
Mixed,HumanEval/103,373,274
Mixed,HumanEval/104,347,177
Mixed,HumanEval/105,768,462
Mixed,HumanEval/106,391,251
Mixed,HumanEval/107,469,228
Mixed,HumanEval/108,359,291
Mixed,HumanEval/109,768,679
Mixed,HumanEval/110,496,330
Mixed,HumanEval/111,388,265
Mixed,HumanEval/112,453,176
Mixed,HumanEval/113,368,346
Mixed,HumanEval/114,301,181
Mixed,HumanEval/115,660,377
Mixed,HumanEval/116,404,274
Mixed,HumanEval/117,521,363
Mixed,HumanEval/118,519,337
Mixed,HumanEval/119,385,267
Mixed,HumanEval/120,412,291
Mixed,HumanEval/121,247,159
Mixed,HumanEval/122,539,179
Mixed,HumanEval/123,461,349
Mixed,HumanEval/124,768,698
Mixed,HumanEval/125,337,251
Mixed,HumanEval/126,569,331
Mixed,HumanEval/127,525,419
Mixed,HumanEval/128,382,246
Mixed,HumanEval/129,768,768
Mixed,HumanEval/130,768,768
Mixed,HumanEval/131,259,151
Mixed,HumanEval/132,768,768
Mixed,HumanEval/133,367,214
Mixed,HumanEval/134,400,202
Mixed,HumanEval/135,328,202
Mixed,HumanEval/136,372,206
Mixed,HumanEval/137,320,231
Mixed,HumanEval/138,382,163
Mixed,HumanEval/139,416,205
Mixed,HumanEval/140,341,258
Mixed,HumanEval/141,641,395
Mixed,HumanEval/142,336,259
Mixed,HumanEval/143,219,166
Mixed,HumanEval/144,368,296
Mixed,HumanEval/145,349,260
Mixed,HumanEval/146,471,305
Mixed,HumanEval/147,376,313
Mixed,HumanEval/148,322,191
Mixed,HumanEval/149,451,267
Mixed,HumanEval/150,337,187
Mixed,HumanEval/151,398,224
Mixed,HumanEval/152,422,281
Mixed,HumanEval/153,580,384
Mixed,HumanEval/154,370,207
Mixed,HumanEval/155,365,195
Mixed,HumanEval/156,409,319
Mixed,HumanEval/157,424,252
Mixed,HumanEval/158,258,180
Mixed,HumanEval/159,522,362
Mixed,HumanEval/160,768,569
Mixed,HumanEval/161,351,247
Mixed,HumanEval/162,136,114
Mixed,HumanEval/163,379,225
